ID,STT,DANGMON,MAU,CHUTHICH,PBSOTIET_TONG,PBSOTIET_LT,PBSOTIET_BT,PBSOTIET_TN,PBSOTIET_BTL,PBSOTIET_TQ,PBSOTIET_DA,PBSOTIET_TTNT,PBSOTIET_LVTN,PBSOTIET_TUHOC,PBSOTIET_KHAC,PBSOTC_TONG,PBSOTC_LT,PBSOTC_BT,PBSOTC_TN,PBSOTC_BTL,PBSOTC_TQ,PBSOTC_DA,PBSOTC_TTNT,PBSOTC_LVTN,PBSOTC_TUHOC,PBSOTC_KHAC,MAU_OLD
56,56,PBL,3_1_0_0_2,Project - based learning,150,15,0,0,90,0,0,0,0.0,30,15.0,3.0,1.0,0.0,0.0,2.0,0,0,0,0.0,0,0,pbl1
57,57,PBL,3_2_0_0_1_pbl,Project - based learning,150,30,0,0,45,0,0,0,0.0,60,15.0,3.0,2.0,0.0,0.0,1.0,0,0,0,0.0,0,0,pbl2
58,58,PBL,3_0_0_0_3_pbl,Project - based learning,150,0,0,0,135,0,0,0,0.0,0,15.0,3.0,0.0,0.0,0.0,3.0,0,0,0,0.0,0,0,pbl3
59,59,TH,1_0_0.8_0_0.2,Thực hành,50,0,24,0,9,0,0,0,0.0,12,5.0,1.0,0.0,0.8,0.0,0.2,0,0,0,0.0,0,0,th1
60,60,TNg,1_0_0_1_0,Môn thí nghiệm/ Thực tập xưởng,50,0,0,30,0,0,0,0,0.0,15,5.0,1.0,0.0,0.0,1.0,0.0,0,0,0,0.0,0,0,tng1
61,61,TNg,2_0_0_2_0,Môn thí nghiệm/ Thực tập xưởng,100,0,0,60,0,0,0,0,0.0,30,10.0,2.0,0.0,0.0,2.0,0.0,0,0,0,0.0,0,0,tng2
62,62,TNg,3_0_0_3_0,Môn thí nghiệm/ Thực tập xưởng,150,0,0,90,0,0,0,0,0.0,45,15.0,3.0,0.0,0.0,3.0,0.0,0,0,0,0.0,0,0,tng3
63,63,TNg,4_0_0_4_0,Môn thí nghiệm/ Thực tập xưởng,200,0,0,120,0,0,0,0,0.0,60,20.0,4.0,0.0,0.0,4.0,0.0,0,0,0,0.0,0,0,tng4
64,64,TNg,3_0_0_2.5_0.5_0,Môn thí nghiệm/ Thực tập xưởng,150,0,0,75,23,0,0,0,0.0,37,15.0,3.0,0.0,0.0,2.5,0.5,0,0,0,0.0,0,0,tng5
65,65,TTNT,1_0_0_0_1_ttnt,Thực tập ngoài trường,50,0,0,0,0,0,0,45,0.0,5,0.0,1.0,0.0,0.0,0.0,0.0,0,0,1,0.0,0,0,ttnt1
66,66,TTNT,2_0_0_0_2_ttnt,Thực tập ngoài trường,200,0,0,0,0,0,0,90,0.0,10,100.0,2.0,0.0,0.0,0.0,0.0,0,0,2,0.0,0,0,ttnt2
67,67,TTNT,3_0_0_0_3_ttnt,Thực tập ngoài trường,300,0,0,0,0,0,0,135,0.0,15,150.0,3.0,0.0,0.0,0.0,0.0,0,0,3,0.0,0,0,ttnt3
68,68,TTNT,6_0_0_0_6_ttnt,Thực tập ngoài trường,600,0,0,0,0,0,0,270,0.0,30,300.0,6.0,0.0,0.0,0.0,0.0,0,0,6,0.0,0,0,ttnt6
81,9999,LT,TEST,Cấu hình test,55,1,2,3,4,5,6,7,8.0,9,10.0,56.0,11.0,9.0,8.0,7.0,6,5,4,3.0,2,1,*
142,1000,JPN,0_0_0_0_0_JPN,Tiếng Nhật (ĐHNB),400,90,60,0,0,0,0,0,0.0,210,40.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,
