,F_MAMH,F_MANH,F_SISO,F_TCPHONG
183,CH4091,CC01,60.0,QT
184,CH4085,CC01,60.0,QT
185,CH4079,CC01,80.0,QT
186,CH2003,CC01,60.0,QT
187,CH2113,CC01,60.0,QT
188,CH4061,CC01,60.0,QT
189,CH2051,CC01,60.0,QT
190,CH2043,CC01,60.0,QT
191,CH2041,CC01,35.0,L
192,CH4125,A01,70.0,QT
193,CH4079,A01,80.0,QT
194,CH4051,L01,25.0,LH
195,CH4087,L01,60.0,LH
196,CH3421,L01,60.0,LH
197,CH4139,L01,20.0,LH
198,CH4127,L01,60.0,LH
199,CH4137,L01,60.0,LH
200,CH4129,L01,60.0,LH
201,CH3399,L01,20.0,LH
202,CH3409,L01,20.0,LH
203,CH4053,L01,40.0,
204,CH4095,L01,40.0,
205,CH4103,L01,40.0,.
206,CH4057,L01,40.0,.
207,CH4007,L01,40.0,
208,CH4125,L01,75.0,LH
209,CH4091,L01,60.0,LH
210,CH4085,L01,60.0,LH
211,CH4079,L01,80.0,LH
212,CH2021,L01,80.0,LH
213,CH2003,L01,80.0,LH
214,CH2113,L01,85.0,LH
215,CH4145,L01,50.0,LH
216,CH4061,L01,60.0,LH
217,CH3133,L01,80.0,LH
218,CH4151,L01,60.0,LH
219,CH2051,L01,70.0,LH
220,CH2043,L01,60.0,LH
221,CH2027,L01,60.0,LH
222,CH2053,L01,25.0,H
223,CH2041,L01,35.0,L
224,CH4063,L01,60.0,LH
225,CH4153,L01,60.0,LH
226,CH4131,CC01,60.0,QT
227,CH4131,L01,60.0,LH
228,CH4081,L01,60.0,LH
229,EN1003,A04,60.0,QT
230,EN2061,CC01,60.0,QT
231,EN1005,CC01,60.0,QT
232,EN2039,CC01,60.0,QT
233,EN4023,L01,500.0,.
234,EN4027,L01,900.0,.
235,EN2047,L01,60.0,LH
236,EN2033,L01,90.0,LH
237,EN2055,L01,90.0,LH
238,EN2049,L01,60.0,LH
239,EN2039,L01,40.0,LH
240,EN3211,L01,60.0,LH
241,CO3141,CC01,60.0,QT
242,CO4029,CC01,60.0,
243,CO3119,CC01,60.0,.
244,CO4041,CC01,500.0,.
245,CO3091,CC01,60.0,.
246,CO3103,CC01,60.0,.
247,CO3105,CC01,60.0,.
248,CO3101,CC01,60.0,.
249,CO3137,CC01,35.0,QT
250,CO2013,CC01,80.0,QT
251,CO3133,CC01,60.0,QT
252,CO3135,CC01,60.0,QT
253,CO2011,CC01,60.0,QT
254,CO2035,CC01,60.0,QT
255,CO4029,A02,60.0,.
256,CO3105,A01,60.0,.
257,CO3101,A01,60.0,.
258,CO3141,L01,60.0,LH
259,CO4029,L01,97.0,
260,CO3119,L01,60.0,.
261,CO4041,L01,500.0,
262,CO3091,L01,500.0,
263,CO3103,L01,500.0,
264,CO3105,L01,60.0,.
265,CO3127,L01,60.0,.
266,CO3101,L01,500.0,
267,CO3137,L01,80.0,LH
268,CO2013,L01,80.0,LH
269,CO3133,L01,85.0,LH
270,CO3135,L01,85.0,LH
271,CO2037,L01,30.0,LH
272,CO2011,L01,100.0,LH
273,CO3087,L01,40.0,.
274,CO2035,L01,105.0,LH
275,CO3133,A01,60.0,QT
276,CO4311,L01,500.0,.
277,CO4315,L01,500.0,.
278,CO1029,L01,100.0,.
279,CO1031,L01,100.0,.
280,CO2043,L01,40.0,.
281,CO4029,A01,60.0,.
282,CO4347,A03,0.0,.
283,CO4337,A02,0.0,.
284,IM1003,CC01,70.0,QT
285,IM1003,L01,60.0,LH
286,IM1011,CC01,60.0,QT
287,IM1011,L01,60.0,LH
288,IM1019,A01,60.0,QT
289,IM1019,CC03,80.0,QT
290,IM1023,A01,60.0,QT
291,IM1025,A02,60.0,QT
292,IM3047,A01,60.0,QT
293,IM3047,CC02,61.0,QT
294,IM3047,CC01,70.0,QT
295,IM3047,L01,80.0,LH
296,IM3051,L01,60.0,LH
297,IM3063,CC01,60.0,QT
298,IM3073,L01,80.0,LH
299,IM4033,CC01,60.0,.
300,IM4033,L01,60.0,.
301,AS4007,A01,60.0,.
302,AS2001,L01,80.0,LH
303,AS1003,L01,60.0,LH
304,AS4007,L01,60.0,.
305,AS2031,L01,60.0,.
306,PH2005,A01,60.0,QT
307,PH1003,CC01,80.0,QT
308,AS4005,L01,60.0,.
309,PH1003,L01,120.0,LH
310,MA4071,CC01,60.0,.
311,MA3157,CC01,20.0,QT
312,MA3171,CC01,60.0,QT
313,MA3165,CC01,60.0,QT
314,MA1003,L01,60.0,LH
315,MA4071,L01,60.0,
316,MA4065,L01,60.0,LH
317,MA3021,L01,60.0,LH
318,MA3101,L01,60.0,LH
319,MA4113,L01,60.0,LH
320,MA5005,A01,60.0,.
321,MA2039,A01,20.0,QT
322,MA3129,A01,60.0,QT
323,MA2109,A01,60.0,
324,MA2119,A01,60.0,.
325,MA3127,A01,60.0,QT
326,MA2029,L01,100.0,.
327,IM1031,CC01,70.0,QT
328,IM1031,L01,80.0,LH
329,IM1021,A02,65.0,QT
330,CI3261,CC01,60.0,QT
331,CI3263,CC01,60.0,QT
332,CI4133,CC01,60.0,.
333,CI4235,CC01,100.0,.
334,CI2101,CC01,60.0,.
335,CI3289,CC01,60.0,QT
336,CI2099,CC01,60.0,QT
337,CI4153,L01,20.0,LH
338,CI3241,L01,60.0,LH
339,CI2137,L01,90.0,LH
340,CI2135,L01,80.0,LH
341,CI4145,L01,60.0,LH
342,CI4141,L01,60.0,LH
343,CI2095,L01,60.0,LH
344,CI4133,L01,40.0,
345,CI4157,L01,40.0,
346,CI4167,L01,40.0,
347,CI4171,L01,900.0,
