,F_MAMH,F_MANH,F_SISO,F_TCPHONG
815,AS3070,CC01,60.0,QT
816,AS3070,L01,60.0,LH
817,AS3089,CC01,9000.0,.
818,AS3089,L01,9000.0,.
819,AS3149,A01,60.0,QT
820,AS3149,L01,60.0,LH
821,AS3159,L01,60.0,LH
822,AS3171,A01,9000.0,.
823,AS3171,L01,9000.0,.
824,AS3335,L01,-5.0,.
825,AS3345,L01,-5.0,.
826,AS4337,A01,9000.0,.
827,AS4337,L01,9000.0,.
828,AS4347,CC01,9000.0,.
829,AS4347,L01,9000.0,.
830,AS5009,CH01,80.0,QT
831,AS5023,CH01,56.0,QT
832,AS5059,CH01,80.0,.
833,AS5103,CH01,80.0,QT
834,AS5105,CH01,60.0,QT
835,AS5113,CH01,80.0,QT
836,AS5113,CH02,80.0,QT
837,AS5113,CH03,80.0,QT
838,AS5113,CH04,80.0,QT
839,AS5113,CH05,80.0,QT
840,AS5113,CH06,80.0,QT
841,AS5115,CH01,80.0,QT
842,AS5117,CH01,80.0,QT
843,AS5133,CH01,60.0,QT
844,AS5155,CH01,80.0,QT
845,AS5159,CH01,80.0,QT
846,AS5163,CH01,70.0,QT
847,AS5261,CH01,80.0,.
848,AS5273,CH01,80.0,.
849,AS5275,CH01,80.0,.
850,AS5277,CH01,80.0,.
851,AS5279,CH01,80.0,.
852,AS5295,CH01,80.0,QT
853,AS5297,CH01,56.0,QT
854,CH1003,A01,70.0,QT
855,CH1003,CC01,75.0,QT
856,CH1003,CC02,70.0,QT
857,CH1003,CC03,70.0,QT
858,CH1003,CC04,70.0,QT
859,CH1003,CC05,70.0,QT
860,CH1003,CC06,70.0,QT
861,CH1003,L01,120.0,LH
862,CH1003,L02,120.0,LH
863,CH1003,L03,120.0,LH
864,CH1003,L04,120.0,LH
865,CH1003,L05,120.0,LH
866,CH1003,L06,120.0,LH
867,CH1003,L07,120.0,LH
868,CH1003,L08,120.0,LH
869,CH1003,L09,120.0,LH
870,CH1003,L10,120.0,LH
871,CH1003,L11,120.0,LH
872,CH1003,L12,120.0,LH
873,CH1003,L13,120.0,LH
874,CH1003,L14,120.0,LH
875,CH1003,L15,120.0,LH
876,CH1003,L16,120.0,LH
877,CH1004,A01,35.0,VC
878,CH1004,CC01,35.0,VC
879,CH1004,CC02,35.0,VC
880,CH1004,CC03,35.0,VC
881,CH1004,CC04,35.0,VC
882,CH1004,CC05,35.0,VC
883,CH1004,CC06,35.0,VC
884,CH1004,CC07,35.0,VC
885,CH1004,CC08,35.0,VC
886,CH1004,CC09,35.0,VC
887,CH1004,CC10,35.0,VC
888,CH1004,CC11,35.0,VC
889,CH1004,CC12,35.0,VC
890,CH1004,L01,40.0,HH
891,CH1004,L02,40.0,HH
892,CH1004,L03,40.0,HH
893,CH1004,L04,40.0,HH
894,CH1004,L05,40.0,HH
895,CH1004,L06,40.0,HH
896,CH1004,L07,40.0,HH
897,CH1004,L08,40.0,HH
898,CH1004,L09,40.0,HH
899,CH1004,L10,40.0,HH
900,CH1004,L11,40.0,HH
901,CH1004,L12,40.0,HH
902,CH1004,L13,40.0,HH
903,CH1004,L14,40.0,HH
904,CH1004,L15,40.0,HH
905,CH1004,L16,40.0,HH
906,CH1004,L17,40.0,HH
907,CH1004,L18,40.0,HH
908,CH1004,L19,40.0,HH
909,CH1004,L20,40.0,HH
910,CH1004,L21,40.0,HH
911,CH1004,L22,40.0,HH
912,CH1004,L23,40.0,HH
913,CH1004,L24,40.0,HH
914,CH1004,L25,40.0,HH
915,CH1004,L26,40.0,HH
916,CH1004,L27,40.0,HH
917,CH1004,L28,40.0,HH
918,CH1004,L29,40.0,HH
919,CH1004,L30,40.0,HH
920,CH1004,L31,40.0,HH
921,CH1004,L32,40.0,HH
922,CH1004,L33,40.0,HH
923,CH1004,L34,40.0,HH
924,CH1004,L35,40.0,HH
925,CH1004,L36,40.0,HH
926,CH1004,L37,40.0,HH
927,CH1004,L38,40.0,HH
928,CH1004,L39,40.0,HH
929,CH1004,L40,40.0,HH
930,CH1004,L41,40.0,HH
931,CH1004,L42,40.0,HH
932,CH1004,L43,40.0,HH
933,CH1004,L44,40.0,HH
934,CH1004,L45,40.0,HH
935,CH1004,L46,40.0,HH
936,CH1004,L47,40.0,HH
937,CH1004,L48,40.0,HH
938,CH1005,CC01,80.0,QT
939,CH1005,L01,80.0,LH
940,CH1015,CC01,70.0,QT
941,CH1015,CC02,70.0,QT
942,CH1015,CC03,70.0,QT
943,CH1016,CC01,35.0,VC
944,CH1016,CC02,35.0,VC
945,CH1016,CC03,35.0,VC
946,CH1016,CC04,35.0,VC
947,CH1016,CC05,35.0,VC
948,CH1016,CC06,35.0,VC
949,CH2015,CC01,70.0,QT
950,CH2015,L01,80.0,LH
951,CH2019,A01,80.0,QT
952,CH2019,CC01,80.0,QT
953,CH2019,CC02,80.0,QT
954,CH2019,CC03,80.0,QT
955,CH2019,L01,80.0,LH
956,CH2019,L02,80.0,LH
957,CH2019,L03,80.0,LH
958,CH2021,CC01,70.0,QT
959,CH2022,CC01,70.0,QT
960,CH2027,CC01,80.0,QT
961,CH2028,CC01,20.0,LM
962,CH2033,CC01,80.0,QT
963,CH2033,L01,80.0,LH
964,CH2034,CC01,20.0,HS
965,CH2034,CC02,20.0,HS
966,CH2034,L01,20.0,HS
967,CH2034,L02,20.0,HS
968,CH2034,L03,20.0,HS
969,CH2035,CC01,80.0,QT
970,CH2035,L01,60.0,LH
971,CH2039,CC01,70.0,QT
972,CH2039,L01,80.0,LH
973,CH2045,CC01,70.0,QT
974,CH2045,L01,60.0,LH
975,CH2109,A01,70.0,QT
976,CH2109,CC01,70.0,QT
977,CH2109,CC02,70.0,QT
978,CH2109,CC03,70.0,QT
979,CH2109,CC04,70.0,QT
980,CH2109,L01,80.0,LH
981,CH2109,L02,80.0,LH
982,CH2109,L03,80.0,LH
983,CH2111,CC01,25.0,H
984,CH2111,CC04,25.0,H
985,CH2111,L01,25.0,H
986,CH2111,L02,25.0,H
987,CH2111,L03,25.0,H
988,CH2111,L04,25.0,H
989,CH2115,CC01,40.0,P
990,CH2115,L01,40.0,P
991,CH2115,L02,40.0,P
992,CH2155,CC01,40.0,P
993,CH2155,CC03,40.0,P
994,CH2155,CC04,40.0,P
995,CH2155,CC05,40.0,P
996,CH2155,CC06,40.0,P
997,CH2155,L01,40.0,P
998,CH2155,L02,40.0,P
999,CH2155,L03,40.0,P
1000,CH2155,L04,40.0,P
1001,CH2155,L05,40.0,P
1002,CH2159,CC01,20.0,;
1003,CH2159,CC02,20.0,;
1004,CH2159,CC04,20.0,;
1005,CH2159,L01,18.0,;
1006,CH2159,L02,18.0,;
1007,CH2159,L03,18.0,;
1008,CH3001,CC01,20.0,;
1009,CH3001,L02,18.0,;
1010,CH3001,L03,18.0,;
1011,CH3015,CC01,25.0,MB
1012,CH3015,CC02,25.0,MB
1013,CH3015,CC03,25.0,MB
1014,CH3015,CC04,25.0,MB
1015,CH3015,CC05,25.0,MB
1016,CH3015,L01,25.0,B3
1017,CH3015,L02,25.0,B3
1018,CH3015,L03,25.0,B3
1019,CH3015,L04,25.0,B1
1020,CH3015,L05,25.0,B1
1021,CH3015,L06,25.0,B3
1022,CH3015,L07,25.0,B1
1023,CH3015,L08,25.0,B3
1024,CH3015,L09,25.0,B1
1025,CH3015,L10,25.0,B3
1026,CH3015,L11,25.0,B1
1027,CH3017,CC01,60.0,QT
1028,CH3017,L01,60.0,LH
1029,CH3019,CC01,60.0,QT
1030,CH3019,L01,60.0,LH
1031,CH3020,CC01,20.0,LM
1032,CH3020,CC02,20.0,LM
1033,CH3020,L01,20.0,LM
1034,CH3020,L02,20.0,LM
1035,CH3020,L03,20.0,LM
1036,CH3053,CC01,60.0,QT
1037,CH3053,L01,60.0,LH
1038,CH3321,A01,60.0,QT
1039,CH3321,CC01,60.0,QT
1040,CH3321,CC02,60.0,QT
1041,CH3321,L01,60.0,LH
1042,CH3321,L02,60.0,LH
1043,CH3321,L03,60.0,LH
1044,CH3321,L04,60.0,LH
1045,CH3327,A01,70.0,QT
1046,CH3327,CC01,70.0,QT
1047,CH3327,L01,80.0,LH
1048,CH3329,CC01,70.0,QT
1049,CH3329,L01,80.0,LH
1050,CH3331,CC01,60.0,QT
1051,CH3331,L01,60.0,LH
1052,CH3337,A01,70.0,QT
1053,CH3337,L01,80.0,LH
1054,CH3341,CC01,80.0,QT
1055,CH3341,L01,90.0,LH
1056,CH3347,A01,70.0,QT
1057,CH3347,CC01,70.0,QT
1058,CH3347,CC02,70.0,QT
1059,CH3347,L01,80.0,LH
1060,CH3347,L02,80.0,LH
1061,CH3347,L03,80.0,LH
1062,CH3349,A01,80.0,QT
1063,CH3349,CC01,80.0,QT
1064,CH3349,CC02,80.0,QT
1065,CH3349,L01,80.0,LH
1066,CH3349,L02,80.0,LH
1067,CH3349,L03,80.0,LH
1068,CH3355,L01,-5.0,.
1069,CH3359,CC01,60.0,QT
1070,CH3359,L01,60.0,LH
1071,CH3360,CC01,20.0,{}
1072,CH3360,CC02,20.0,{}
1073,CH3360,L01,20.0,{}
1074,CH3360,L02,20.0,{}
1075,CH3360,L03,20.0,{}
1076,CH3361,CC01,80.0,QT
1077,CH3361,L01,80.0,LH
1078,CH3362,CC01,20.0,S2
1079,CH3362,CC02,20.0,S2
1080,CH3362,L01,20.0,S2
1081,CH3362,L02,20.0,S2
1082,CH3362,L03,20.0,S2
1083,CH3379,CC01,24.0,J
1084,CH3379,L01,24.0,J
1085,CH3379,L02,24.0,J
1086,CH3389,A01,80.0,QT
1087,CH3389,CC01,80.0,QT
1088,CH3389,CC02,80.0,QT
1089,CH3389,L01,100.0,LH
1090,CH3389,L02,100.0,LH
1091,CH3389,L03,100.0,LH
1092,CH4001,CC01,18.0,CP
1093,CH4001,CC02,18.0,CP
1094,CH4001,L01,18.0,CP
1095,CH4001,L03,18.0,CP
1096,CH4001,L04,18.0,CP
1097,CH4097,CC01,80.0,QT
1098,CH4097,L01,120.0,LH
1099,CH4097,L02,120.0,LH
1100,CH4107,CC01,60.0,QT
1101,CH4108,CC01,20.0,CP
1102,CH4113,L01,60.0,LH
1103,CH4115,CC01,60.0,QT
1104,CH4115,L01,60.0,LH
1105,CH4357,A01,9000.0,.
1106,CH4357,CC01,9000.0,.
1107,CH4357,L01,9000.0,.
1108,CH4367,CC01,9000.0,.
1109,CH4367,L01,9000.0,.
1110,CH4377,CC01,9000.0,.
1111,CH4377,L01,9000.0,.
1112,CH5311,CH01,56.0,QT
1113,CH5407,CH01,80.0,QT
1114,CH5597,CH01,80.0,.
1115,CH5599,CH01,80.0,.
1116,CH5601,CH01,80.0,QT
1117,CH5603,CH01,60.0,QT
1118,CH5605,CH01,80.0,QT
1119,CH5607,CH01,80.0,QT
1120,CH5671,CH01,80.0,QT
1121,CH5677,CH01,80.0,.
1122,CH5679,CH01,80.0,.
1123,CH5683,CH01,50.0,QT
1124,CH5685,CH01,50.0,QT
1125,CH5699,CH01,80.0,QT
1126,CH5703,CH01,80.0,QT
1127,CH5711,CH01,56.0,QT
1128,CH5721,CH01,80.0,QT
1129,CH5723,CH01,80.0,QT
1130,CH5745,CH01,80.0,QT
1131,CH5767,CH01,50.0,QT
1132,CI1003,A01,60.0,QT
1133,CI1003,CC01,70.0,QT
1134,CI1003,CC02,70.0,QT
1135,CI1003,CC03,70.0,QT
1136,CI1003,CC04,70.0,QT
1137,CI1003,CC05,70.0,QT
1138,CI1003,CC06,70.0,QT
1139,CI1003,CC07,70.0,QT
1140,CI1003,L01,70.0,LH
1141,CI1003,L02,70.0,LH
1142,CI1003,L03,70.0,LH
1143,CI1003,L04,70.0,LH
1144,CI1003,L05,70.0,LH
1145,CI1003,L06,70.0,LH
1146,CI1003,L07,70.0,LH
1147,CI1003,L08,70.0,LH
1148,CI1003,L09,70.0,LH
1149,CI1003,L10,70.0,LH
1150,CI1003,L11,70.0,LH
1151,CI1003,L12,70.0,LH
1152,CI1003,L13,70.0,LH
1153,CI1004,A01,35.0,TH
1154,CI1004,A02,35.0,TH
1155,CI1004,CC01,35.0,TH
1156,CI1004,CC02,35.0,TH
1157,CI1004,CC03,35.0,TH
1158,CI1004,CC04,35.0,TH
1159,CI1004,CC05,35.0,TH
1160,CI1004,CC06,35.0,TH
1161,CI1004,CC07,35.0,TH
1162,CI1004,CC08,35.0,TH
1163,CI1004,CC09,35.0,TH
1164,CI1004,CC10,35.0,TH
1165,CI1004,CC11,35.0,TH
1166,CI1004,CC12,35.0,TH
1167,CI1004,CC13,35.0,TH
1168,CI1004,CC14,35.0,TH
1169,CI1004,L01,35.0,CI
1170,CI1004,L02,35.0,CI
1171,CI1004,L03,35.0,CI
1172,CI1004,L04,35.0,CI
1173,CI1004,L05,35.0,CI
1174,CI1004,L06,35.0,CI
1175,CI1004,L07,35.0,CI
1176,CI1004,L08,35.0,CI
1177,CI1004,L09,35.0,CI
1178,CI1004,L10,35.0,CI
1179,CI1004,L11,35.0,CI
1180,CI1004,L12,35.0,CI
1181,CI1004,L13,35.0,CI
1182,CI1004,L14,35.0,CI
1183,CI1004,L15,35.0,CI
1184,CI1004,L16,35.0,CI
1185,CI1004,L17,35.0,CI
1186,CI1004,L18,35.0,CI
1187,CI1004,L19,35.0,CI
1188,CI1004,L20,35.0,CI
1189,CI1004,L21,35.0,CI
1190,CI1004,L22,35.0,CI
1191,CI1004,L23,35.0,CI
1192,CI1004,L24,35.0,CI
1193,CI1004,L25,35.0,CI
1194,CI1004,L26,35.0,CI
1195,CI1033,CC01,70.0,QT
1196,CI1033,L01,70.0,LH
1197,CI1033,L02,70.0,LH
1198,CI1033,L03,70.0,LH
1199,CI1033,L04,70.0,LH
1200,CI1033,L05,70.0,LH
1201,CI1033,L06,70.0,LH
1202,CI1033,L07,70.0,LH
1203,CI1034,CC01,35.0,TH
1204,CI1034,CC02,35.0,TH
1205,CI1034,L01,35.0,CI
1206,CI1034,L02,35.0,CI
1207,CI1034,L03,35.0,CI
1208,CI1034,L04,35.0,CI
1209,CI1034,L05,35.0,CI
1210,CI1034,L06,35.0,CI
1211,CI1034,L07,35.0,CI
1212,CI1034,L08,35.0,CI
1213,CI1034,L09,35.0,CI
1214,CI1034,L10,35.0,CI
1215,CI1034,L11,35.0,CI
1216,CI1034,L12,35.0,CI
1217,CI1034,L13,35.0,CI
1218,CI1034,L14,35.0,CI
1219,CI1067,CC01,70.0,QT
1220,CI1067,L01,80.0,BO
1221,CI1067,L02,80.0,BO
1222,CI1069,CC01,80.0,QT
1223,CI1069,CC02,80.0,QT
1224,CI1069,L01,120.0,LH
1225,CI1069,L02,120.0,LH
1226,CI1069,L03,120.0,LH
1227,CI1069,L04,120.0,LH
1228,CI1069,L05,120.0,LH
1229,CI1069,L06,120.0,LH
1230,CI1077,L01,80.0,LH
1231,CI1077,L02,80.0,LH
1232,CI1078,L01,80.0,LH
1233,CI1078,L02,80.0,LH
1234,CI2001,A01,80.0,QT
1235,CI2001,CC01,80.0,QT
1236,CI2001,L01,80.0,LH
1237,CI2002,A01,40.0,S
1238,CI2002,CC01,40.0,S
1239,CI2002,CC02,40.0,S
1240,CI2002,L01,40.0,S
1241,CI2002,L02,40.0,S
1242,CI2003,A01,75.0,QT
1243,CI2003,CC01,75.0,QT
1244,CI2003,L01,75.0,LH
1245,CI2003,L02,75.0,LH
1246,CI2003,L03,75.0,LH
1247,CI2003,L04,75.0,LH
1248,CI2003,L05,75.0,LH
1249,CI2003,TN01,75.0,QT
1250,CI2004,A01,25.0,C
1251,CI2004,A02,25.0,C
1252,CI2004,CC01,25.0,C
1253,CI2004,L01,25.0,CL
1254,CI2004,L02,25.0,CL
1255,CI2004,L03,25.0,CL
1256,CI2004,L04,25.0,CL
1257,CI2004,L05,25.0,CL
1258,CI2004,L06,25.0,CL
1259,CI2004,L07,25.0,CL
1260,CI2004,L08,25.0,CL
1261,CI2004,L09,25.0,CL
1262,CI2004,L10,25.0,CL
1263,CI2004,L11,25.0,CL
1264,CI2004,L12,25.0,CL
1265,CI2004,L13,25.0,CL
1266,CI2004,L14,25.0,CL
1267,CI2004,L15,25.0,CL
1268,CI2007,A01,65.0,QT
1269,CI2007,CC01,80.0,QT
1270,CI2007,L01,80.0,LH
1271,CI2007,L02,80.0,LH
1272,CI2007,L03,80.0,LH
1273,CI2007,L04,80.0,LH
1274,CI2007,L05,80.0,LH
1275,CI2008,A01,40.0,S
1276,CI2008,A02,40.0,S
1277,CI2008,CC01,40.0,S
1278,CI2008,L01,40.0,S
1279,CI2008,L02,40.0,S
1280,CI2008,L03,40.0,S
1281,CI2008,L04,40.0,S
1282,CI2008,L05,40.0,S
1283,CI2008,L06,40.0,S
1284,CI2008,L07,40.0,S
1285,CI2008,L08,40.0,S
1286,CI2008,L09,40.0,S
1287,CI2008,L10,40.0,S
1288,CI2037,A01,70.0,QT
1289,CI2037,CC01,70.0,QT
1290,CI2037,L01,70.0,LH
1291,CI2037,L02,71.0,LH
1292,CI2037,L03,70.0,LH
1293,CI2037,L04,70.0,LH
1294,CI2037,L05,70.0,LH
1295,CI2037,L06,70.0,LH
1296,CI2037,L07,70.0,LH
1297,CI2038,A01,35.0,VX
1298,CI2038,A02,35.0,VX
1299,CI2038,CC01,35.0,VX
1300,CI2038,CC02,35.0,VX
1301,CI2038,L01,35.0,VX
1302,CI2038,L02,35.0,VX
1303,CI2038,L03,35.0,VX
1304,CI2038,L04,35.0,VX
1305,CI2038,L05,35.0,VX
1306,CI2038,L06,35.0,VX
1307,CI2038,L07,35.0,VX
1308,CI2038,L08,35.0,VX
1309,CI2038,L09,35.0,VX
1310,CI2038,L10,35.0,VX
1311,CI2038,L11,35.0,VX
1312,CI2038,L12,35.0,VX
1313,CI2038,L13,35.0,VX
1314,CI2038,L14,35.0,VX
1315,CI2103,CC01,60.0,QT
1316,CI2103,L01,60.0,LH
1317,CI2103,L02,60.0,LH
1318,CI2105,CC01,60.0,QT
1319,CI2105,L01,60.0,BO
1320,CI2105,L02,60.0,BO
1321,CI2107,CC01,60.0,QT
1322,CI2107,L01,60.0,BO
1323,CI2107,L02,60.0,BO
1324,CI2123,CC01,70.0,QT
1325,CI2123,L01,80.0,LH
1326,CI2123,L02,80.0,LH
1327,CI2133,A01,50.0,QT
1328,CI2139,A01,50.0,QT
1329,CI2141,L01,80.0,LH
1330,CI2143,L01,80.0,LH
1331,CI2144,L01,40.0,VI
1332,CI2145,A01,50.0,QT
1333,CI2145,CC01,80.0,QT
1334,CI2145,L01,120.0,LH
1335,CI2145,L02,120.0,LH
1336,CI2147,L01,30.0,A1
1337,CI2147,L02,30.0,A1
1338,CI2151,CC01,80.0,QT
1339,CI2151,L01,80.0,LH
1340,CI2151,L02,80.0,LH
1341,CI2151,L03,80.0,LH
1342,CI2151,L04,80.0,LH
1343,CI2161,L01,80.0,LH
1344,CI2161,L02,80.0,LH
1345,CI2162,L01,80.0,LH
1346,CI2162,L02,80.0,LH
1347,CI2163,L01,80.0,LH
1348,CI2163,L02,80.0,LH
1349,CI2164,L01,80.0,LH
1350,CI2164,L02,80.0,LH
1351,CI3003,L01,40.0,LH
1352,CI3004,L01,40.0,VI
1353,CI3013,L01,60.0,LH
1354,CI3014,L01,20.0,TL
1355,CI3014,L02,20.0,TL
1356,CI3021,L01,60.0,LH
1357,CI3022,L01,60.0,LH
1358,CI3043,CC01,60.0,QT
1359,CI3043,L01,60.0,LH
1360,CI3043,L02,60.0,LH
1361,CI3057,L01,60.0,LH
1362,CI3058,L01,30.0,VX
1363,CI3163,L01,60.0,LH
1364,CI3241,A01,60.0,QT
1365,CI3243,CC01,60.0,QT
1366,CI3243,L01,60.0,LH
1367,CI3243,L02,60.0,LH
1368,CI3245,L01,60.0,LH
1369,CI3246,L01,60.0,LH
1370,CI3247,L01,60.0,LH
1371,CI3248,L01,60.0,LH
1372,CI3249,L01,60.0,.
1373,CI3249,L02,60.0,.
1374,CI3255,L01,30.0,HD
1375,CI3257,L01,80.0,LH
1376,CI3261,L01,60.0,LH
1377,CI3262,L01,60.0,LH
1378,CI3263,L01,60.0,LH
1379,CI3264,L01,60.0,LH
1380,CI3265,L01,60.0,LH
1381,CI3266,L01,60.0,LH
1382,CI3293,CC01,60.0,QT
1383,CI3293,L01,60.0,LH
1384,CI3293,L02,60.0,LH
1385,CI3293,L03,60.0,LH
1386,CI3294,CC01,60.0,QT
1387,CI3294,L01,60.0,LH
1388,CI3294,L02,60.0,LH
1389,CI3294,L03,60.0,LH
1390,CI3295,CC01,80.0,QT
1391,CI3485,CC01,-5.0,.
1392,CI3485,L01,-5.0,.
1393,CI4201,A01,60.0,QT
1394,CI4209,CC01,60.0,QT
1395,CI4417,L01,9000.0,.
1396,CI4427,L01,9000.0,.
1397,CI4437,L01,9000.0,.
1398,CI4447,CC01,9000.0,.
1399,CI4447,L01,9000.0,.
1400,CI4457,L01,9000.0,.
1401,CI4467,L01,9000.0,.
1402,CI4487,CC01,9000.0,.
1403,CI4487,L01,9000.0,.
1404,CI5015,A01,9000.0,.
1405,CI5017,A01,9000.0,.
1406,CI5027,A01,9000.0,.
1407,CI5035,A01,60.0,QT
1408,CI5037,A01,60.0,QT
1409,CI5137,CH01,50.0,QT
1410,CI5139,CH01,80.0,QT
1411,CI5141,CH01,80.0,QT
1412,CI5165,CH01,56.0,QT
1413,CI5169,CH01,56.0,QT
1414,CI5239,CH01,60.0,QT
1415,CI5239,IM01,40.0,QT
1416,CI5247,CH01,56.0,QT
1417,CI5249,CH01,56.0,QT
1418,CI5251,CH01,50.0,QT
1419,CI5253,CH01,56.0,QT
1420,CI5259,CH01,60.0,QT
1421,CI5273,CH01,56.0,QT
1422,CI5323,CH01,80.0,.
1423,CI5325,CH01,80.0,.
1424,CI5325,IM01,80.0,.
1425,CI5331,CH01,80.0,.
1426,CI5333,CH01,80.0,.
1427,CI5351,CH01,80.0,.
1428,CI5353,CH01,80.0,.
1429,CI5367,CH01,80.0,QT
1430,CI5379,CH01,80.0,QT
1431,CI5381,CH01,80.0,QT
1432,CI5387,CH01,80.0,QT
1433,CI5389,CH01,80.0,QT
1434,CI5451,CH01,60.0,QT
1435,CI5779,CH01,80.0,QT
1436,CI5781,CH01,80.0,QT
1437,CI5799,CH01,50.0,QT
1438,CI5805,CH01,80.0,QT
1439,CO1003,CC01,80.0,QT
1440,CO1003,L01,80.0,LH
1441,CO1004,CC01,40.0,MT
1442,CO1004,L01,40.0,HM
1443,CO1004,L02,40.0,HM
1444,CO1007,A01,90.0,QT
1445,CO1007,CC01,81.0,QT
1446,CO1007,CC02,80.0,QT
1447,CO1007,CC03,81.0,QT
1448,CO1007,CC04,80.0,QT
1449,CO1007,L01,120.0,LH
1450,CO1007,L02,120.0,LH
1451,CO1007,L03,120.0,LH
1452,CO1025,CC01,80.0,QT
1453,CO1025,CC02,80.0,QT
1454,CO1025,L01,120.0,LH
1455,CO1025,L02,120.0,LH
1456,CO1026,CC01,40.0,5
1457,CO1026,CC02,40.0,5
1458,CO1026,CC03,40.0,5
1459,CO1026,CC04,40.0,5
1460,CO1026,L01,40.0,N6
1461,CO1026,L02,40.0,N6
1462,CO1026,L03,40.0,N6
1463,CO1026,L04,40.0,N6
1464,CO1027,A01,80.0,QT
1465,CO1027,CC01,80.0,QT
1466,CO1027,CC02,80.0,QT
1467,CO1027,CC03,80.0,QT
1468,CO1027,CC04,80.0,QT
1469,CO1027,CC05,80.0,QT
1470,CO1027,CC06,80.0,QT
1471,CO1027,L01,120.0,LH
1472,CO1027,L02,120.0,LH
1473,CO1027,L03,120.0,LH
1474,CO1027,L04,120.0,LH
1475,CO1028,A01,40.0,TH
1476,CO1028,A02,40.0,TH
1477,CO1028,CC01,40.0,MQ
1478,CO1028,CC02,40.0,TH
1479,CO1028,CC03,40.0,TH
1480,CO1028,CC04,40.0,MQ
1481,CO1028,CC05,40.0,TH
1482,CO1028,CC06,40.0,MQ
1483,CO1028,CC07,40.0,TH
1484,CO1028,CC08,40.0,MQ
1485,CO1028,CC09,40.0,TH
1486,CO1028,CC10,40.0,MQ
1487,CO1028,CC11,40.0,MQ
1488,CO1028,CC12,40.0,TH
1489,CO1028,L01,40.0,CI
1490,CO1028,L02,40.0,HM
1491,CO1028,L03,40.0,HM
1492,CO1028,L04,40.0,HM
1493,CO1028,L05,40.0,CI
1494,CO1028,L06,40.0,HM
1495,CO1028,L07,40.0,CI
1496,CO1028,L08,40.0,CI
1497,CO1028,L09,40.0,CI
1498,CO1028,L10,40.0,HM
1499,CO1028,L11,40.0,CI
1500,CO1028,L12,40.0,HM
1501,CO2001,A01,80.0,QT
1502,CO2001,A02,80.0,QT
1503,CO2001,CC01,80.0,QT
1504,CO2001,CC02,80.0,QT
1505,CO2001,CC03,80.0,QT
1506,CO2001,CC04,80.0,QT
1507,CO2001,CC05,80.0,QT
1508,CO2001,CC06,80.0,QT
1509,CO2001,CC07,80.0,QT
1510,CO2001,L01,120.0,LH
1511,CO2001,L02,120.0,LH
1512,CO2001,L03,120.0,LH
1513,CO2001,L04,120.0,LH
1514,CO2001,L05,120.0,LH
1515,CO2001,TN01,80.0,QT
1516,CO2003,A01,50.0,QT
1517,CO2003,CC01,81.0,QT
1518,CO2003,CC02,81.0,QT
1519,CO2003,L01,80.0,LH
1520,CO2003,L02,80.0,LH
1521,CO2003,L03,80.0,LH
1522,CO2004,A01,40.0,MT
1523,CO2004,CC01,40.0,MT
1524,CO2004,CC02,40.0,MT
1525,CO2004,CC03,40.0,MT
1526,CO2004,CC04,40.0,MT
1527,CO2004,L01,40.0,CI
1528,CO2004,L02,40.0,CI
1529,CO2004,L03,40.0,HM
1530,CO2004,L04,40.0,HM
1531,CO2004,L05,40.0,CI
1532,CO2004,L06,40.0,CI
1533,CO2007,A01,80.0,QT
1534,CO2007,CC01,81.0,QT
1535,CO2007,CC02,81.0,QT
1536,CO2007,L01,120.0,LH
1537,CO2008,A01,40.0,5
1538,CO2008,CC01,40.0,5
1539,CO2008,CC02,40.0,5
1540,CO2008,CC03,40.0,5
1541,CO2008,CC04,40.0,5
1542,CO2008,L01,40.0,N5
1543,CO2008,L02,40.0,N5
1544,CO2008,L03,40.0,N5
1545,CO2017,A01,80.0,QT
1546,CO2017,CC01,80.0,QT
1547,CO2017,CC02,80.0,QT
1548,CO2017,CC03,80.0,QT
1549,CO2017,CC04,82.0,QT
1550,CO2017,L01,120.0,LH
1551,CO2017,L02,120.0,LH
1552,CO2017,L03,120.0,LH
1553,CO2017,TN01,80.0,QT
1554,CO2018,A01,40.0,TH
1555,CO2018,A02,40.0,TH
1556,CO2018,CC01,40.0,TH
1557,CO2018,CC02,40.0,TH
1558,CO2018,CC03,40.0,TH
1559,CO2018,CC04,40.0,TH
1560,CO2018,CC05,40.0,TH
1561,CO2018,CC06,40.0,MT
1562,CO2018,CC07,40.0,MT
1563,CO2018,CC08,40.0,MT
1564,CO2018,L01,40.0,CI
1565,CO2018,L02,40.0,HM
1566,CO2018,L03,40.0,HM
1567,CO2018,L04,40.0,CI
1568,CO2018,L05,40.0,HM
1569,CO2018,L06,40.0,CI
1570,CO2018,L07,40.0,HM
1571,CO2018,L08,40.0,HM
1572,CO2018,L09,40.0,HM
1573,CO2018,TN01,40.0,TH
1574,CO2018,TN02,40.0,TH
1575,CO2039,A01,80.0,QT
1576,CO2039,CC01,70.0,QT
1577,CO2039,CC02,81.0,QT
1578,CO2039,CC03,80.0,QT
1579,CO2039,L01,120.0,LH
1580,CO2039,L02,120.0,LH
1581,CO2039,L03,120.0,LH
1582,CO2039,TN01,60.0,QT
1583,CO3001,A01,60.0,QT
1584,CO3001,CC01,60.0,QT
1585,CO3001,CC02,60.0,QT
1586,CO3001,CC03,60.0,QT
1587,CO3001,L01,80.0,LH
1588,CO3001,L02,80.0,LH
