MAKEM,MAMH,TENMH,TENMH_ENG,MASUBJECTAREA,SOTC,SOTC_HP,SOTIET,SOTIET_XEPTKB,loai_mh,f_lt,f_bt,f_tn,f_btl,f_da,f_la,f_tq,f_makh,mau
,003052,ANH VAN 2               ,English 2                                                                                                                         ,LA,3,3,30,30,Lec,30,0,0,0,0,0,0,TN,
,003053,ANH VAN 3               ,English 1                                                                                                                         ,LA,5,5,45,45,Lec,45,0,0,0,0,0,0,TN,
,003054,TIENG ANH (2)           ,English 2                                                                                                                         ,LA,6,6,90,90,Lec,90,0,0,0,0,0,0,TN,
,003055,TIENG PHAP (1)          ,French 1                                                                                                                          ,LA,6,6,90,90,Lec,90,0,0,0,0,0,0,TN,
,003056,ANH VAN 4               ,English 3                                                                                                                         ,LA,5,5,45,45,Lec,45,0,0,0,0,0,0,TN,
,003057,ANH VAN 4               ,English 4                                                                                                                         ,LA,3,3,30,30,Lec,30,0,0,0,0,0,0,TN,
,003058,ANH VAN 2               ,English 2                                                                                                                         ,LA,5,5,45,45,Lec,45,0,0,0,0,0,0,TN,
,003059,ANH VAN 3               ,English 3                                                                                                                         ,LA,5,5,45,45,Lec,45,0,0,0,0,0,0,TN,
,003060,ANH VAN 4               ,English 4                                                                                                                         ,LA,5,5,45,45,Lec,45,0,0,0,0,0,0,TN,
,003101,CHUAN AV VAO            ,TOEIC 200                                                                                                                         ,LA,0,0,60,60,Prsn,0,60,0,0,0,0,0,TN,
,003102,ANH VAN DAU VAO HE VLVH ,TOEIC 250                                                                                                                         ,LA,0,0,60,60,Lec,60,0,0,0,0,0,0,TN,
,003103,ANH VAN 3               ,English 3                                                                                                                         ,LA,2,2,45,45,Lec,45,0,0,0,0,0,0,TN,
,003104,ANH VAN 4               ,English 4                                                                                                                         ,LA,2,2,45,40,Lec,40,0,5,0,0,0,0,TN,
,003105,PHAP VAN 4              ,French 4                                                                                                                          ,LA,2,2,45,45,Lec,45,0,0,0,0,0,0,TN,
,003106,VAN HOA NHAT            ,Japanese Culture                                                                                                                  ,EE,2,2,45,45,Lec,45,0,0,0,0,0,0,DD,
,003107,PHAP VAN 5 (AUF)        ,French 5                                                                                                                          ,LA,0,3,45,45,Lec,45,0,0,0,0,0,0,TN,
,003108,PHAP VAN 6 (AUF)        ,French 6                                                                                                                          ,LA,0,25,35,35,Lec,35,0,0,0,0,0,0,TN,
,003109,PHAP VAN 7 (AUF)        ,French 6                                                                                                                          ,LA,0,25,35,35,Lec,35,0,0,0,0,0,0,TN,
,003110,PHAP VAN 8 (AUF)        ,French 8                                                                                                                          ,LA,0,25,35,35,Lec,35,0,0,0,0,0,0,TN,
,003401,PRINCIPLES OFCOMPOSITION,Principle of Composition                                                                                                          ,EE,3,3,69,30,Lec,30,12,0,27,0,0,0,DD,3b
,003402,PRINCIPLES OFCOMPOS.(BT),Principle of Composition (Exc)                                                                                                    ,EE,0,0,12,12,Prsn,0,12,0,0,0,0,0,DD,3b
