room_id,room_description,resource_type
C3-PTNC3,TT,GENERAL
C3-105,N2,GENERAL
C1-201B,X9,GENERAL
C1-201A,CX,GENERAL
B2-PTNB2C,P3,GENERAL
B6-SANB6,T9,GENERAL
B1-104,DD,GENERAL
C6-203,NN,GENERAL
C1-104,CC,GENERAL
C3-PTNMXD,MX,ELECTRICAL_LAB
B6-111A,VX,GENERAL
A3-CHUYENDEA3,A3,GENERAL
C2-XUONGC2,U2,MECHANICAL_WORKSHOP
B6-102,DV,GENERAL
C1-201C,K2,GENERAL
B2-403,H,GENERAL
B11-102,E1,GENERAL
B3-106,E4,GENERAL
C2-PTTDT2,MA,ELECTRICAL_LAB
C2-103B,M9,GENERAL
B6-304,QT,GENERAL
A5-108,GH,GENERAL
B12-SAN9,T,OTHER_SPECIAL
B12-SAN10,T,OTHER_SPECIAL
B6-305,QT,GENERAL
B9-101,QT,GENERAL
B5-001,CZ,GENERAL
B8-301,QT,GENERAL
F1-2C6-PTNTRONGDIEM,F1,OTHER_SPECIAL
C3-109.2,GT,GENERAL
B12-SAN,T5,OTHER_SPECIAL
B1-112.1,E5,GENERAL
B6-101,TL,GENERAL
B2-105A,MB,GENERAL
B10-302,V9,GENERAL
B10-306,DX,GENERAL
HANGOUT_TUONGTAC,AH,GENERAL
C6-105,F2,GENERAL
B2-401A,VC,GENERAL
B2-306,HC,GENERAL
A5-107,GH,GENERAL
C4-203,DZ,GENERAL
C2-PTTDT3,9M,ELECTRICAL_LAB
B6-201A,LY,GENERAL
C1-107B2,B8,GENERAL
C3-103,N7,GENERAL
C3-104,N8,GENERAL
B3-208,SC,GENERAL
C5-309,BI,GENERAL
B2-201A,B9,GENERAL
DP-CAOTHANG,CT,GENERAL
C.THANG,CT,GENERAL
HOBOI LY THUONG KIET,HB,OTHER_SPECIAL
C3-109.3,GT,GENERAL
C3-109.4,GT,GENERAL
C1-106B,KN,GENERAL
B7-102,CA,GENERAL
B6-100,TM,GENERAL
B6-203,BM,GENERAL
A5-HTA5,A5,GENERAL
C6-505,MP,GENERAL
C1-201L,LG,GENERAL
C6-509,TH,GENERAL
C6-102,TH,GENERAL
C1-PTNGAH,TC,GENERAL
C1-110B,U3,GENERAL
C5-404,QT,GENERAL
B1-101,HI,GENERAL
B2-401,V6,GENERAL
B2-101,CH,GENERAL
C6-105D,LECTURE,GENERAL
C5-HOITRUONG,GD,GENERAL
CS2-TR2L,HD,COMPUTER_LAB
CS2-TR3L,HD,COMPUTER_LAB
CS2-TR4L,HD,COMPUTER_LAB
CS2-TR5L,HD,COMPUTER_LAB
H1-102,LH,GENERAL
H1-103,LH,GENERAL
H1-101,LH,GENERAL
H1-104,LH,GENERAL
H1-202,LH,GENERAL
H1-203,LH,GENERAL
H1-201,LH,GENERAL
H1-204,LH,GENERAL
H1-210,LH,GENERAL
H1-211,LH,GENERAL
H1-212,LH,GENERAL
H1-213,LH,GENERAL
H1-305,LH,GENERAL
H1-306,LH,GENERAL
H1-308,LH,GENERAL
H1-309,LH,GENERAL
H1-307,LH,GENERAL
H1-401,LH,GENERAL
H1-404,LH,GENERAL
H1-GDH1,HG,GENERAL
H1-405,LH,GENERAL
H1-403,LH,GENERAL
H1-603,HL,GENERAL
H1-601,HL,GENERAL
H1-602,HL,GENERAL
H1-501,HH,GENERAL
H1-502,HH,GENERAL
H1-503,HH,GENERAL
H1-504,HH,GENERAL
H1-701,K3,GENERAL
H1-801,LH,GENERAL
H1-802,LH,GENERAL
H1-803,LH,GENERAL
H1-804,LH,GENERAL
H1-805,LH,GENERAL
H2-503,KI,GENERAL
H2-502,KI,GENERAL
H2-702,OM,GENERAL
H2-701,M3,GENERAL
H2-101,VL,GENERAL
H2-102,I3,GENERAL
H2-201,LH,GENERAL
H2-206,LH,GENERAL
H2-202,LH,GENERAL
H2-205,LH,GENERAL
H2-207,LH,GENERAL
H2-301,LH,GENERAL
H2-306,LH,GENERAL
H2-302,LH,GENERAL
H2-304,LH,GENERAL
H2-305,LH,GENERAL
H2-307,LH,GENERAL
H2-401,LH,GENERAL
H2-406,LH,GENERAL
H2-403,LH,GENERAL
H2-404,LH,GENERAL
H2-402,LH,GENERAL
H2-405,LH,GENERAL
H2-407,LH,GENERAL
H2-506,BO,GENERAL
H2-505,BO,GENERAL
H2-501,KI,GENERAL
H2-805,M2,GENERAL
H2-804,M2,GENERAL
H6-603,CI,GENERAL
H6-604,CI,GENERAL
H6-109,LH,GENERAL
H6-110,LH,GENERAL
H6-112,LH,GENERAL
H6-113,LH,GENERAL
H6-114,DB,GENERAL
H6-205,LH,GENERAL
H6-206,LH,GENERAL
H6-210,LH,GENERAL
H6-211,LH,GENERAL
H6-212,LH,GENERAL
H6-213,LH,GENERAL
H6-214,LH,GENERAL
H6-208,LH,GENERAL
H6-305,LH,GENERAL
H6-306,LH,GENERAL
H6-310,LH,GENERAL
H6-311,LH,GENERAL
H6-312,LH,GENERAL
H6-313,LH,GENERAL
H6-411,LH,GENERAL
H6-412,LH,GENERAL
H6-413,LH,GENERAL
H6-414,LH,GENERAL
H6-415,LH,GENERAL
H6-GDH6,HG,GENERAL
CS2-NHATHIDAU-SAN2,SL,OTHER_SPECIAL
CS2-NHATHIDAU-SAN3,SL,OTHER_SPECIAL
