course_id,course_name,resource_type
201006,PHUONG PHAP TOI UU,GENERAL
201008,P/PHAP TINH & LT TOI UU,GENERAL
201009,CO HOC,GENERAL
201010,CO HOC UNG DUNG,GENERAL
201011,CO LY THUYET,GENERAL
201012,CO HOC 2,GENERAL
201013,CO HOC MAY,GENERAL
201014,P/PHAP TOI UU & QHTN,GENERAL
201015,CO LY THUYET,GENERAL
201016,CO UNG DUNG,GENERAL
201017,CO LY THUYET,GENERAL
201018,CO HOC,GENERAL
201019,CO LY THUYET 1,GENERAL
201020,CO LY THUYET NANG CAO,GENERAL
201021,CO KY THUAT (CKT),GENERAL
201022,COHOC MOITRUONG LIEN TUC,GENERAL
201023,CAD UNG DUNG,GENERAL
201024,DAO DONG CO SO,GENERAL
201025,DAO DONG KY THUAT,GENERAL
201026,DAN HOI UNG DUNG A,GENERAL
201027,DOLUONG CAC DLUONG PDIEN,GENERAL
201028,LY THUYET DAN HOI,GENERAL
201029,LY THUYET DEO KY THUAT,GENERAL
201030,PP PHAN TU HUU HAN (CKT),GENERAL
201031,PP PHANTU HHAN UDUNG(CKT,GENERAL
201032,THIET KE KY THUAT,GENERAL
201034,TT MOPHONG CO KY THUAT 1,GENERAL
201035,TT MO PHONG CO KY THUA,GENERAL
201036,THI NGHIEM CO HOC,GENERAL
201037,UD CAC PMEM TRG TT COHOC,GENERAL
201038,XULY TIENG ON TRG KTHUAT,GENERAL
201039,UNG XU CO HOC CUA V/LIEU,GENERAL
201041,CO HOC,GENERAL
201042,TH L/TRINH T/TOAN CO HOC,GENERAL
201043,PT S/LIEU T/NGHIEM C/HOC,GENERAL
201051,CO LY THUYET 1,GENERAL
201052,CO LY THUYET 2,GENERAL
201053,CO UNG DUNG 1,GENERAL
201054,CO UNG DUNG 2,GENERAL
201055,PHUONG PHAP TOI UU,GENERAL
201056,CO UNG DUNG,GENERAL
201057,CO HOC,GENERAL
201058,CO LY THUYET,GENERAL
201059,CO UNG DUNG,GENERAL
201060,CO LY THUYET,GENERAL
201061,CO UNG DUNG,GENERAL
201101,BAI TAP CO HOC,GENERAL
201102,BAI TAP CO UNG DUNG,GENERAL
201103,BAI TAP CO LY THUYET,GENERAL
201701,COHOC DC &CH MTR LIENTUC,GENERAL
201702,DAO DONG 1,GENERAL
201703,DAO DONG 2,GENERAL
201704,CO HOC BAY 2,GENERAL
201705,HU HONG & PHA HUY 1,GENERAL
201706,HU HONG & PHA HUY 2,GENERAL
201707,CO HOC VAT RAN & SONG CO,GENERAL
201708,CAC CTRUCHK-C/HOC PHAHUY,GENERAL
201801,CO HOC LY THUYET,GENERAL
202001,TN K/THUAT THUY LUC&KNEN,GENERAL
202002,TN DUNG SAI &KY THUAT DO,GENERAL
202003,CN & T/BI GIA CONG C/XAC,GENERAL
202004,NG/LY GIA CONG VAT LIEU,GENERAL
202005,T/KE D/BAO C/TAO &LAPRAP,GENERAL
202006,THIET KE TRANG BI C/NGHE,GENERAL
202007,DUNG SAI & KY THUAT DO,GENERAL
202008,KY THUAT DONG THOI,GENERAL
202009,"BOM, QUAT, MAY NEN KHI",GENERAL
202010,KYTHUAT THUY LUC&KHI NEN,GENERAL
202011,"LAP DAT,VAN HANH&SC TBCN",GENERAL
202012,DUNG SAI,GENERAL
202013,DUNG SAI - KY THUAT DO,GENERAL
202014,CAC PP G/CONG KHONG PHOI,GENERAL
202015,K/THUAT THUY LUC-KHI NEN,GENERAL
202016,TN KT THUY LUC - KHI NEN,GENERAL
202017,LY THUYET AN KHOP,GENERAL
202018,LY THUYET TAO HINH,GENERAL
202019,MAY CHE BIEN,GENERAL
202020,KY THUAT CHE TAO,GENERAL
202021,N/LY CAT & DUNG CU CAT,GENERAL
202022,P/PHAP GIA CONG TINH XAC,GENERAL
202023,P/PHAP PHAN TU HUU HAN,GENERAL
202024,T/KE MAY CAT KIM LOAI,GENERAL
202025,THIET KE NHA MAY CO KHI,GENERAL
202026,TK DO GA GIA CONG K.LOAI,GENERAL
202027,TOI UU HOA PHUONG AN CN,GENERAL
202028,T/BI DIEN TRONG MCKL A,GENERAL
202029,T/BI DIEN TRONG MCKL B,GENERAL
202030,TU DONG HOA QT CONG NGHE,GENERAL
202033,TBI KHOAN & KHAI THAC DK,GENERAL
202034,CHE TAO CO KHI 1,GENERAL
202035,CHE TAO CO KHI 2,GENERAL
202036,T/KE QUI TRINH CONG NGHE,GENERAL
202037,TU DONG CONG NGHIEP,GENERAL
202039,DO TRONG CHE TAO MAY,GENERAL
202040,KY THUAT DO LUONG CO KHI,GENERAL
202041,THIET BI DIEN TRONG MAY,GENERAL
202042,CAC PP GIA CONG DAC BIET,GENERAL
202043,TOI UU HOA QUI TRINHSXCN,GENERAL
202044,TU DONG HOA SAN XUAT,GENERAL
202045,CNC,GENERAL
202046,TK DUNG CU CAT KIM LOAI,GENERAL
202047,KY THUAT CHE TAO 2,GENERAL
202048,CONG NGHE CHE TAO MAY 2,COMPUTER_LAB
202049,TK QUI TRINH CONG NGHE,GENERAL
202050,CO KHI DAI CUONG,GENERAL
202051,CONG NGHE CHE TAO MAY 1,GENERAL
202052,CONG NGHE CHE TAO MAY 2,GENERAL
202053,DUNG SAI DO LUONG,GENERAL
202054,TRUYEN DONG DAU EP,GENERAL
202055,NGUYEN LY CAT KIM LOAI,GENERAL
202056,TRANG BI DIEN,GENERAL
202057,TK DUNG CU CAT KIM LOAI,GENERAL
202058,MAY CAT KIM LOAI,GENERAL
202060,T/KE MAY CAT KIM LOAI,GENERAL
202061,DO GA,GENERAL
202062,TU DONG HOA CONG NGHE,GENERAL
202064,KY THUAT AN TOAN,GENERAL
202065,MAI MON BOI TRON,GENERAL
202067,DO GA,GENERAL
202068,TRUYEN DONG EP & KHI NEN,GENERAL
202069,KY THUAT DO LUONG CO KHI,GENERAL
202070,TK VOI SU HO TRO CUA MT,COMPUTER_LAB
202072,KT BAO DUONG S/CHUA MAY,GENERAL
202073,KHOA HOC BAO HO LAO DONG,GENERAL
202074,TRANG BI DIEN TRONG MAY,ELECTRICAL_LAB
202076,KHOA HOC BAO HO LAO DONG,GENERAL
202077,TK BANG MAY TINH DIEN TU,COMPUTER_LAB
202078,TU DONG HOA QT CONG NGHE,GENERAL
202079,TOI UU HOA,COMPUTER_LAB
202080,MAY CONG CU,MECHANICAL_WORKSHOP
202081,MAY CAT KIM LOAI,GENERAL
202082,CN GIA CONG TREN MAY CNC,GENERAL
202083,CNGHE VL NHUA &KHUON MAU,MECHANICAL_WORKSHOP
202084,CAD/CAM TRONG DET MAY,COMPUTER_LAB
