course_id,course_name,faculty_id,faculty_name,credits,total_hours,lecture_hours,exercise_hours,lab_hours,project_hours,assignment_hours,thesis_hours,course_type,companion_course_id,resource_type,resource_confidence
003105,PHAP VAN 4,LA,,2,45,45,0,0,0,0,0,LECTURE,,GENERAL,1.0
003106,VAN HOA NHAT,EE,,2,45,45,0,0,0,0,0,LECTURE,,GENERAL,1.0
003107,PHAP VAN 5 (AUF),LA,,0,45,45,0,0,0,0,0,LECTURE,,GENERAL,1.0
003108,PHAP VAN 6 (AUF),LA,,0,35,35,0,0,0,0,0,LECTURE,,GENERAL,1.0
003109,PHAP VAN 7 (AUF),LA,,0,35,35,0,0,0,0,0,LECTURE,,GENERAL,1.0
003110,PHAP VAN 8 (AUF),LA,,0,35,35,0,0,0,0,0,LECTURE,,GENERAL,1.0
003401,PRINCIPLES OFCOMPOSITION,EE,,3,69,30,12,0,0,27,0,LECTURE,,GENERAL,1.0
003402,PRINCIPLES OFCOMPOS.(BT),EE,,0,12,0,12,0,0,0,0,PRACTICAL,,GENERAL,1.0
003601,PHAP VAN 1,LA,,3,60,45,15,0,0,0,0,LECTURE,,GENERAL,1.0
003602,PHAP VAN 2,LA,,3,60,45,15,0,0,0,0,LECTURE,,GENERAL,1.0
003603,PHAP VAN 3,LA,,2,675,0,45,0,0,225,0,PRACTICAL,,GENERAL,1.0
003701,TIENG PHAP 1,LA,,5,75,75,0,0,0,0,0,LECTURE,,GENERAL,1.0
003702,TIENG PHAP 2,LA,,5,75,75,0,0,0,0,0,LECTURE,,GENERAL,1.0
003703,TIENG PHAP 3,LA,,5,75,75,0,0,0,0,0,LECTURE,,GENERAL,1.0
003704,TIENG PHAP 4,LA,,5,75,75,0,0,0,0,0,LECTURE,,GENERAL,1.0
003705,TIENG PHAP 5,LA,,0,45,45,0,0,0,0,0,LECTURE,,GENERAL,1.0
003706,TIENG PHAP 6,LA,,0,45,45,0,0,0,0,0,LECTURE,,GENERAL,1.0
003707,TIENG PHAP 7,LA,,0,45,45,0,0,0,0,0,LECTURE,,GENERAL,1.0
003708,TIENG PHAP 8,LA,,0,45,45,0,0,0,0,0,LECTURE,,GENERAL,1.0
003709,MIP(TPHAP HNHAP NNGHIEP),LA,,1,15,15,0,0,0,0,0,LECTURE,,GENERAL,1.0
003710,PHAP VAN A1 (TU CHON),LA,,3,45,45,0,0,0,0,0,LECTURE,,GENERAL,1.0
003711,PHAP VAN A2 (TU CHON),LA,,3,45,45,0,0,0,0,0,LECTURE,,GENERAL,1.0
003712,PHAP VAN A3 (TU CHON),LA,,0,45,45,0,0,0,0,0,LECTURE,,GENERAL,1.0
003713,PHAP VAN A4 (TU CHON),LA,,0,45,45,0,0,0,0,0,LECTURE,,GENERAL,1.0
003714,TIENG PHAP 4 (TU CHON),LA,,0,45,45,0,0,0,0,0,LECTURE,,GENERAL,1.0
003715,TIENG PHAP 5 (TU CHON),LA,,0,45,45,0,0,0,0,0,LECTURE,,GENERAL,1.0
003716,TIENG PHAP 3,LA,,10,150,150,0,0,0,0,0,LECTURE,,GENERAL,1.0
003720,ANH VAN 5 (XD),LA,,2,675,0,45,0,0,225,0,PRACTICAL,,GENERAL,1.0
003721,ANH VAN 6 (XD),LA,,2,675,0,45,0,0,225,0,PRACTICAL,,GENERAL,1.0
003722,ANH VAN 7 (XD),LA,,2,675,0,45,0,0,225,0,PRACTICAL,,GENERAL,1.0
003723,ANH VAN 8 (XD),LA,,2,675,0,45,0,0,225,0,PRACTICAL,,GENERAL,1.0
003724,ANH VAN 9 (XD),LA,,2,675,0,45,0,0,225,0,PRACTICAL,,GENERAL,1.0
003727,PHAP VAN 5 (XD),LA,,3,45,45,0,0,0,0,0,LECTURE,,GENERAL,1.0
003728,PHAP VAN 6 (XD),LA,,3,45,45,0,0,0,0,0,LECTURE,,GENERAL,1.0
003729,PHAP VAN 7 (XD),LA,,3,45,45,0,0,0,0,0,LECTURE,,GENERAL,1.0
003730,PHAP VAN 8 (XD),LA,,3,45,45,0,0,0,0,0,LECTURE,,GENERAL,1.0
003801,IELF 1,LA,,0,168,168,0,0,0,0,0,LECTURE,,GENERAL,1.0
003802,IELF 2,LA,,0,168,168,0,0,0,0,0,LECTURE,,GENERAL,1.0
003803,IELF 3,LA,,0,168,168,0,0,0,0,0,LECTURE,,GENERAL,1.0
003804,IELF 4,LA,,0,168,168,0,0,0,0,0,LECTURE,,GENERAL,1.0
006007,TOAN KINH TE UNG DUNG,IM,,3,45,40,5,0,0,1,0,LECTURE,,GENERAL,1.0
006106,TOAN KINH TE UNGDUNG (BT,IM,,0,20,0,20,0,0,0,0,PRACTICAL,,GENERAL,1.0
007402,"UNIV PHYSICS,ELEC & MAG",EE,,4,60,60,0,0,0,0,0,LECTURE,,GENERAL,1.0
007403,"UNIV PHYSICS,THERMALPHYS",ME,,2,30,30,0,0,0,0,0,LECTURE,,GENERAL,1.0
007710,AM THANH CONG TRINH,CI,,2,48,21,0,0,0,27,0,LECTURE,,GENERAL,1.0
200002,THUC HANH DIEN - DIEN TU,20,,2,60,0,0,60,0,0,0,LAB,,GENERAL,1.0
200003,PP NGHIEN CUU KHOA HOC,ME,,2,45,30,15,0,0,0,0,LECTURE,,GENERAL,1.0
